kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;maximale_constructiesnelheid;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;hoogte_voertuig;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;plaats_chassisnummer;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
J945VT;Personenauto;BMW;435I;20221204;20201026;829;cabriolet;4;BLAUW;Niet geregistreerd;6;2979;1725;2210;1825;750;1700;20140624;20201026;Geen verstrekking in Open Data;85186;Ja;250;2;4;0;0;464;183;M1;2210;3C;e1*2007/46*0316*10;3T31;6A140000;0;0.12;281;Nee;Nee;Nee;3985;0;;2020;Geen oordeel;05;Ja;2022-12-04T00:00:00.000;2020-10-26T00:00:00.000;2014-06-24T00:00:00.000;2020-10-26T00:00:00.000;138;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. motorruimte;;;;;;
J945VV;Personenauto;RENAULT;CAPTUR;20221102;20201103;3906;hatchback;5;WIT;ZWART;4;1197;1155;1726;1255;625;1200;20140901;20201103;Geen verstrekking in Open Data;24575;Ja;192;4;4;0;0;412;178;M1;1726;R;e2*2001/116*0327*62;2R40;2R401E;0;0.07;261;Nee;Nee;Nee;2626;0;0.00;2022;Geen oordeel;05;Ja;2022-11-02T00:00:00.000;2020-11-03T00:00:00.000;2014-09-01T00:00:00.000;2020-11-03T00:00:00.000;157;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945VX;Personenauto;MERCEDES-BENZ;E 200;20241030;20210512;9682;stationwagen;5;GRIJS;Niet geregistreerd;4;1991;1695;2475;1795;750;2100;20201030;20201030;Geen verstrekking in Open Data;71006;Ja;231;5;4;0;0;500;187;M1;2475;R1ES;e1*2007/46*1560*20;U28KT0;CZAA05AB;0;0.08;294;Nee;Nee;Nee;4675;0;0.00;2022;Logisch;00;Ja;2024-10-30T00:00:00.000;2021-05-12T00:00:00.000;2020-10-30T00:00:00.000;2020-10-30T00:00:00.000;150;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945VZ;Personenauto;PEUGEOT;2008;20241125;20220802;;MPV;5;ZWART;Niet geregistreerd;;;1523;2030;1623;;;20201125;20201125;Geen verstrekking in Open Data;42599;Ja;150;4;4;0;0;430;177;M1;2030;U;e2*2007/46*0639*11;K;ZKXZ-R0A000;0;0.04;261;Nee;Nee;Nee;2030;0;0.00;2022;Logisch;00;Ja;2024-11-25T00:00:00.000;2022-08-02T00:00:00.000;2020-11-25T00:00:00.000;2020-11-25T00:00:00.000;155;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945XB;Personenauto;RENAULT;CLIO;20241123;20201123;4170;stationwagen;5;ZWART;Niet geregistreerd;3;898;1098;1654;1198;595;1200;20201123;20201123;Geen verstrekking in Open Data;20095;Ja;171;4;4;0;0;427;173;M1;1654;R;e2*2001/116*0327*90;00KE2;JR5TB16A5000;0;0.06;259;Nee;Nee;Nee;2554;0;0.00;2022;Logisch;00;Ja;2024-11-23T00:00:00.000;2020-11-23T00:00:00.000;2020-11-23T00:00:00.000;2020-11-23T00:00:00.000;145;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945XD;Personenauto;ALFA ROMEO;ALFA MITO;20221029;20201030;632;MPV;4;ZWART;Niet geregistreerd;4;1368;1065;1570;1165;400;500;20130830;20201030;Geen verstrekking in Open Data;23915;Ja;187;2;4;0;0;406;172;M1;1570;955;e3*2001/116*0278*09;AXL1B;08;0;0.07;251;Nee;Nee;Nee;2070;0;0.00;2021;Geen oordeel;05;Ja;2022-10-29T00:00:00.000;2020-10-30T00:00:00.000;2013-08-30T00:00:00.000;2020-10-30T00:00:00.000;145;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945XF;Personenauto;OPEL;ASTRA;20241030;20220124;2434;hatchback;5;ZWART;Niet geregistreerd;3;1199;1180;1805;1280;620;1220;20201030;20201030;Geen verstrekking in Open Data;26140;Ja;200;5;4;0;0;437;181;M1;1805;B-K;e4*2007/46*0996*20;CA026DD12;BD1BATKH315;0;0.06;266;Nee;Nee;Nee;3000;0;0.00;2022;Logisch;00;Ja;2024-10-30T00:00:00.000;2022-01-24T00:00:00.000;2020-10-30T00:00:00.000;2020-10-30T00:00:00.000;149;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945XG;Personenauto;MERCEDES-BENZ;C 450 4MATIC;20230130;20201028;4526;sedan;5;ZWART;Niet geregistreerd;6;2996;1590;2225;1690;750;1800;20160118;20201028;Geen verstrekking in Open Data;92809;Ja;250;4;4;0;0;0;0;M1;2225;204;e1*2001/116*0431*36;R05HP1;NZAAB504;0;0.16;284;Nee;Ja;Nee;4125;0;0.00;2021;Geen oordeel;05;Ja;2023-01-30T00:00:00.000;2020-10-28T00:00:00.000;2016-01-18T00:00:00.000;2020-10-28T00:00:00.000;;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945XJ;Personenauto;VOLKSWAGEN;POLO;20241116;20201116;3178;hatchback;5;GRIJS;Niet geregistreerd;3;999;1055;1610;1155;570;1000;20201116;20201116;Geen verstrekking in Open Data;23141;Ja;187;5;4;0;0;405;175;M1;1610;AW;e1*2007/46*1783*20;ABDKLA;FM5FM5DF002N2VR24BF1BA0;0;0.06;255;Nee;Nee;Nee;2610;0;0.00;2022;Logisch;00;Ja;2024-11-16T00:00:00.000;2020-11-16T00:00:00.000;2020-11-16T00:00:00.000;2020-11-16T00:00:00.000;143;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J945XK;Personenauto;TOYOTA;TOYOTA YARIS HYBRID;20221218;20201223;503;MPV;5;BLAUW;Niet geregistreerd;4;1497;1060;1565;1160;;;20160930;20201223;Geen verstrekking in Open Data;21499;Ja;165;5;4;0;0;395;170;M1;1565;XP13M(A);e11*2007/46*0152*09;NHP13(MH);NHP130L-CHXNBW(1K);2;0.01;251;Nee;Nee;Nee;1565;0;0.00;2021;Geen oordeel;05;Ja;2022-12-18T00:00:00.000;2020-12-23T00:00:00.000;2016-09-30T00:00:00.000;2020-12-23T00:00:00.000;;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
