kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;maximale_constructiesnelheid;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;hoogte_voertuig;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;plaats_chassisnummer;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
J943GD;Personenauto;RENAULT;CLIO;20240818;20200818;2310;hatchback;5;WIT;Niet geregistreerd;3;999;1065;1603;1165;580;900;20200818;20200818;Geen verstrekking in Open Data;20494;Ja;188;5;4;0;0;405;173;M1;1603;RJA;e2*2007/46*0676*04;BE2;MT5TA37A5000;0;0.06;258;Nee;Nee;Nee;2503;0;0.00;2022;Logisch;00;Ja;2024-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;144;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GH;Personenauto;SUZUKI;IGNIS;20240725;20200725;1824;hatchback;4;BLAUW;Niet geregistreerd;4;1197;835;1330;935;400;1000;20200725;20200725;Geen verstrekking in Open Data;19679;Ja;165;5;4;0;0;370;169;M1;1330;MF;e4*2007/46*1162*03;H91S;MT-4/L;0;0.07;244;Nee;Nee;Nee;2330;0;0.00;2022;Logisch;00;Ja;2024-07-25T00:00:00.000;2020-07-25T00:00:00.000;2020-07-25T00:00:00.000;2020-07-25T00:00:00.000;161;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GJ;Personenauto;HONDA;HONDA CR-V;20230526;20210528;11642;MPV;5;ZWART;Niet geregistreerd;4;1997;1470;2050;1570;600;1600;20120208;20200728;Geen verstrekking in Open Data;40800;Ja;190;4;4;0;0;457;0;M1;2050;RE5;e11*2001/116*0301*05;2;1;0;0.07;263;Nee;Nee;Nee;3650;0;0.00;2022;Geen oordeel;05;Ja;2023-05-26T00:00:00.000;2021-05-28T00:00:00.000;2012-02-08T00:00:00.000;2020-07-28T00:00:00.000;168;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. tegen schutbord onder motorkap;;;;;;
J943GK;Personenauto;TOYOTA;TOYOTA AYGO;20240801;20200801;1653;hatchback;4;ROOD;Niet geregistreerd;3;998;830;1240;930;;;20200801;20200801;Geen verstrekking in Open Data;14484;Ja;160;4;4;0;0;347;162;M1;1240;AB1;e6*2007/46*0348*02;KGB40(H);KGB40L-AHMGKW(3U);0;0.06;234;Nee;Nee;Nee;1240;0;0.00;2020;Logisch;00;Ja;2024-08-01T00:00:00.000;2020-08-01T00:00:00.000;2020-08-01T00:00:00.000;2020-08-01T00:00:00.000;146;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GL;Personenauto;VOLKSWAGEN;POLO;20240325;20200723;1178;hatchback;5;GRIJS;Niet geregistreerd;3;999;1055;1650;1155;570;1100;20180314;20200723;Geen verstrekking in Open Data;23107;Ja;;5;4;;;;175;M1;1650;AW;e1*2007/46*1783*04;ABCHZJ;FM6FM6AJ017N3VR27MM62;1;0.07;255;Nee;Nee;Nee;2750;;;2022;Geen oordeel;05;Ja;2024-03-25T00:00:00.000;2020-07-23T00:00:00.000;2018-03-14T00:00:00.000;2020-07-23T00:00:00.000;;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. motorruimte;;;;;;
J943GN;Personenauto;AUDI;A3 CABRIOLET;20230630;20200727;3625;cabriolet;4;WIT;Niet geregistreerd;4;1395;1355;1880;1455;720;1500;20160616;20200727;Geen verstrekking in Open Data;48791;Ja;222;2;4;0;0;0;179;M1;1880;8V;e1*2007/46*0607*19;KCZEAF1;FD7AM014P8V137MMEM1;0;0.08;259;Nee;Nee;Nee;3380;0;0.00;2021;Geen oordeel;05;Ja;2023-06-30T00:00:00.000;2020-07-27T00:00:00.000;2016-06-16T00:00:00.000;2020-07-27T00:00:00.000;;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GP;Personenauto;RENAULT;CAPTUR;20240922;20200925;2664;hatchback;5;GRIJS;ZWART;4;1197;1159;1723;1259;625;1200;20170103;20200925;Geen verstrekking in Open Data;27164;Ja;192;4;4;0;0;412;178;M1;1723;R;e2*2001/116*0327*78;2RBU;2RBU1D;0;0.07;261;Nee;Nee;Nee;2623;0;0.00;2022;Geen oordeel;05;Ja;2024-09-22T00:00:00.000;2020-09-25T00:00:00.000;2017-01-03T00:00:00.000;2020-09-25T00:00:00.000;157;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. in kofferruimte by reservewiel;;;;;;
J943GR;Personenauto;TOYOTA;TOYOTA AYGO;20230615;20210616;195;hatchback;4;WIT;Niet geregistreerd;3;998;830;1240;930;;;20160317;20200924;Geen verstrekking in Open Data;12877;Ja;160;4;4;0;0;346;162;M1;1240;AB1;e11*2001/116*0236*12;KGB40(H);KGB40L-AHMGKW(2N);0;0.05;234;Nee;Nee;Nee;1240;0;;2021;Geen oordeel;05;Ja;2023-06-15T00:00:00.000;2021-06-16T00:00:00.000;2016-03-17T00:00:00.000;2020-09-24T00:00:00.000;146;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GT;Personenauto;VOLKSWAGEN;SHARAN;20230911;20200911;9198;MPV;7;ZWART;Niet geregistreerd;4;1390;1671;2480;1771;750;1800;20131022;20200911;Geen verstrekking in Open Data;48268;Ja;197;4;4;0;0;0;190;M1;2480;7N;e1*2007/46*0401*06;CTHAX0AF;FM6FM6BB0037MJ7VR2VWO;0;0.06;292;Nee;Nee;Nee;4310;0;0.00;2022;Geen oordeel;05;Ja;2023-09-11T00:00:00.000;2020-09-11T00:00:00.000;2013-10-22T00:00:00.000;2020-09-11T00:00:00.000;;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GV;Personenauto;MINI;COOPER S;20240805;20200805;6526;cabriolet;4;GRIJS;Niet geregistreerd;4;1998;1285;1745;1385;;;20200805;20200805;Geen verstrekking in Open Data;50684;Ja;230;2;4;0;0;385;173;M1;1745;FMCA;e1*2007/46*1679*07;WJ51;DAW400L0;0;0.10;250;Nee;Nee;Nee;0;0;0.00;2022;Logisch;00;Ja;2024-08-05T00:00:00.000;2020-08-05T00:00:00.000;2020-08-05T00:00:00.000;2020-08-05T00:00:00.000;142;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GX;Personenauto;FORD;FOCUS;20240731;20210728;2682;stationwagen;5;GRIJS;Niet geregistreerd;3;999;1283;1925;1383;690;1000;20200731;20200731;Geen verstrekking in Open Data;28104;Ja;184;4;4;0;0;469;184;M1;1925;DEH;e13*2007/46*1911*06;B3DA1PX;5APBH6AP8BT;0;0.05;270;Nee;Nee;Nee;2925;0;0.00;2022;Logisch;00;Ja;2024-07-31T00:00:00.000;2021-07-28T00:00:00.000;2020-07-31T00:00:00.000;2020-07-31T00:00:00.000;155;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GZ;Personenauto;SEAT;ARONA;20240828;20211105;4294;hatchback;5;GRIJS;Niet geregistreerd;3;999;1112;1655;1212;600;1100;20200828;20200828;Geen verstrekking in Open Data;30460;Ja;190;5;4;0;0;414;178;M1;1655;KJ;e9*2007/46*3134*23;XDKRF;FD7SFD7CW0074BF3A1AAD;0;0.07;255;Nee;Nee;Nee;2755;0;0.00;2022;Logisch;00;Ja;2024-08-28T00:00:00.000;2021-11-05T00:00:00.000;2020-08-28T00:00:00.000;2020-08-28T00:00:00.000;155;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HB;Personenauto;PORSCHE;911 CARRERA 4S;20240806;20200806;37426;coupe;4;GROEN;Niet geregistreerd;6;2981;1540;2010;1640;;;20200806;20200806;Geen verstrekking in Open Data;242641;Ja;306;2;4;0;0;452;185;M1;2010;992;e13*2007/46*0992*07;CB22;2400000;0;0.20;245;Nee;Nee;Nee;0;0;0.00;2021;Logisch;00;Ja;2024-08-06T00:00:00.000;2020-08-06T00:00:00.000;2020-08-06T00:00:00.000;2020-08-06T00:00:00.000;129;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HD;Personenauto;PEUGEOT;2008;20240731;20220428;5038;MPV;5;GRIJS;Niet geregistreerd;3;1199;1180;1740;1280;640;1200;20200731;20200731;Geen verstrekking in Open Data;36447;Ja;196;4;4;0;0;430;177;M1;1740;U;e2*2007/46*0639*09;S;HNSS-R1B100;0;0.08;261;Nee;Nee;Nee;2940;0;0.00;2022;Logisch;00;Ja;2024-07-31T00:00:00.000;2022-04-28T00:00:00.000;2020-07-31T00:00:00.000;2020-07-31T00:00:00.000;155;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HF;Personenauto;SEAT;IBIZA;20240821;20200821;2558;hatchback;5;GRIJS;Niet geregistreerd;3;999;1034;1600;1134;560;1000;20200821;20200821;Geen verstrekking in Open Data;22811;Ja;182;5;4;0;0;406;178;M1;1600;KJ;e9*2007/46*3134*17;BDKLA;FM5SFM5DF0027CP3A1CA;0;0.06;255;Nee;Nee;Nee;2600;0;0.00;2021;Logisch;00;Ja;2024-08-21T00:00:00.000;2020-08-21T00:00:00.000;2020-08-21T00:00:00.000;2020-08-21T00:00:00.000;144;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HG;Personenauto;FORD;ECOSPORT;20240731;20200908;593;hatchback;5;BLAUW;Niet geregistreerd;3;998;1237;1720;1337;613;750;20170626;20200810;Geen verstrekking in Open Data;24683;Ja;;4;4;0;0;427;177;M1;1720;JK8;e9*2007/46*0092*17;M1JJ1B;5AABMM;0;0.07;252;Nee;Nee;Nee;2470;0;0.00;2022;Geen oordeel;05;Ja;2024-07-31T00:00:00.000;2020-09-08T00:00:00.000;2017-06-26T00:00:00.000;2020-08-10T00:00:00.000;164;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. bodemplaat onder voorzitting;;;;;;
J943HH;Personenauto;BMW;1ER REIHE;20230805;20200811;4537;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1250;1775;1350;650;1200;20070710;20200811;Geen verstrekking in Open Data;;Ja;210;4;4;0;0;424;175;M1;1775;187;e1*2001/116*0287*10;UE51;AA;0;0.08;266;Nee;Nee;Nee;3050;0;;2022;Geen oordeel;05;Ja;2023-08-05T00:00:00.000;2020-08-11T00:00:00.000;2007-07-10T00:00:00.000;2020-08-11T00:00:00.000;142;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HJ;Personenauto;RENAULT;CAPTUR;20230812;20220104;2930;hatchback;5;BLAUW;Niet geregistreerd;3;999;1216;1780;1316;655;1200;20200812;20200812;Geen verstrekking in Open Data;25600;Ja;175;5;4;0;0;423;180;M1;1780;RJB;e2*2007/46*0684*05;HE2;MT5TA09A5000;0;0.06;264;Nee;Nee;Nee;2980;0;0.00;2022;Logisch;00;Ja;2023-08-12T00:00:00.000;2022-01-04T00:00:00.000;2020-08-12T00:00:00.000;2020-08-12T00:00:00.000;157;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;Af-fabriek gasinstallatie;;;;;
J943HK;Personenauto;PEUGEOT;206+;20230915;20200915;2222;hatchback;5;BLAUW;Niet geregistreerd;4;1124;941;1384;1041;485;760;20101223;20200915;Geen verstrekking in Open Data;13780;Ja;159;2;4;;;387;167;M1;1384;2*****;;;;;0.04;244;Nee;Nee;Nee;1884;;;2022;Geen oordeel;05;Ja;2023-09-15T00:00:00.000;2020-09-15T00:00:00.000;2010-12-23T00:00:00.000;2020-09-15T00:00:00.000;;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HL;Personenauto;MINI;JOHN COOPER WORKS;20230731;20200803;4224;stationwagen;5;GRIJS;Niet geregistreerd;4;1598;1405;1940;1505;;;20130624;20200803;Geen verstrekking in Open Data;55828;Ja;223;4;4;0;0;413;179;M1;1940;UKL/X;e1*2007/46*0496*05;XD11;5A05C;0;0.11;260;Nee;Nee;Nee;0;0;;2022;Geen oordeel;05;Ja;2023-07-31T00:00:00.000;2020-08-03T00:00:00.000;2013-06-24T00:00:00.000;2020-08-03T00:00:00.000;155;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HN;Personenauto;TESLA;MODEL 3;20240821;20200821;;sedan;5;ZWART;Niet geregistreerd;;;1831;2305;1931;750;1000;20200821;20200821;Geen verstrekking in Open Data;61230;Ja;233;4;4;0;0;469;185;M1;2305;003;e4*2007/46*1293*10;E3D;BB1T1;0;0.03;288;Nee;Ja;Nee;3305;0;0.00;2022;Logisch;00;Ja;2024-08-21T00:00:00.000;2020-08-21T00:00:00.000;2020-08-21T00:00:00.000;2020-08-21T00:00:00.000;144;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HP;Personenauto;AUDI;A1 SPORTBACK;20230908;20200910;3553;hatchback;5;GRIJS;Niet geregistreerd;3;1422;1105;1640;1205;600;1200;20160325;20200910;Geen verstrekking in Open Data;31588;Ja;182;4;4;0;0;0;175;M1;1640;8X;e1*2007/46*0414*18;SCUSBF1;FM5A4054P8X01LLS57MMEM2;0;0.05;246;Nee;Nee;Nee;2870;0;0.00;2022;Geen oordeel;05;Ja;2023-09-08T00:00:00.000;2020-09-10T00:00:00.000;2016-03-25T00:00:00.000;2020-09-10T00:00:00.000;;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HR;Personenauto;VOLVO;850 T5 R 2.3 AUT.;20210911;20200805;;stationwagen;5;GEEL;Niet geregistreerd;5;2319;1517;1970;1617;700;1600;19941201;20200805;Geen verstrekking in Open Data;;Ja;;4;4;;;472;176;M1;1970;;;;;;0.10;266;Nee;Nee;Nee;3570;;;2020;Geen oordeel;05;Ja;2021-09-11T00:00:00.000;2020-08-05T00:00:00.000;1994-12-01T00:00:00.000;2020-08-05T00:00:00.000;;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. op schutbord onder motorkap;;;;;;
J943HS;Personenauto;KIA;XCEED;20240807;20200807;5658;hatchback;5;WIT;Niet geregistreerd;3;998;1232;1820;1332;600;1200;20200807;20200807;Geen verstrekking in Open Data;31445;Ja;186;5;4;0;0;440;183;M1;1820;CD;e4*2007/46*1299*09;BCP11;M6AH11;0;0.07;265;Nee;Nee;Nee;3020;0;0.00;2022;Logisch;00;Ja;2024-08-07T00:00:00.000;2020-08-07T00:00:00.000;2020-08-07T00:00:00.000;2020-08-07T00:00:00.000;148;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HT;Personenauto;FIAT;FIAT 500;20240811;20220809;2558;hatchback;4;GRIJS;Niet geregistreerd;3;999;955;1360;1055;;;20200811;20200811;Geen verstrekking in Open Data;18114;Ja;167;3;4;0;0;357;163;M1;1360;312;e3*2007/46*0064*56;AYD1B;E25M;0;0.00;230;Nee;Nee;Nee;1360;0;0.00;2022;Logisch;00;Ja;2024-08-11T00:00:00.000;2022-08-09T00:00:00.000;2020-08-11T00:00:00.000;2020-08-11T00:00:00.000;149;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HV;Personenauto;VOLVO;XC60;20240811;20200811;2642;stationwagen;5;BLAUW;Niet geregistreerd;4;1969;2069;2660;2169;750;2100;20200811;20200811;Geen verstrekking in Open Data;78408;Ja;180;5;4;0;0;469;190;M1;2660;U;e4*2007/46*1220*09;UZBM;UZBMVD0?;0;0.01;287;Nee;Nee;Nee;4760;0;0.00;2022;Logisch;00;Ja;2024-08-11T00:00:00.000;2020-08-11T00:00:00.000;2020-08-11T00:00:00.000;2020-08-11T00:00:00.000;164;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HX;Personenauto;MERCEDES-BENZ;A-KLASSE;20231021;20200908;3221;stationwagen;5;GRIJS;Niet geregistreerd;4;1332;1275;1885;1375;685;1600;20191021;20200908;Geen verstrekking in Open Data;44188;Ja;225;5;4;0;0;0;0;M1;1885;F2A;e1*2007/46*1829*07;X2H7T2;FZAA151A;0;0.09;273;Nee;Nee;Nee;3570;0;0.00;2020;Geen oordeel;05;Ja;2023-10-21T00:00:00.000;2020-09-08T00:00:00.000;2019-10-21T00:00:00.000;2020-09-08T00:00:00.000;;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943HZ;Personenauto;OPEL;CROSSLAND X;20240818;20200818;5658;MPV;5;ZWART;Niet geregistreerd;3;1199;1180;1835;1280;600;840;20200818;20200818;Geen verstrekking in Open Data;31460;Ja;198;5;4;0;0;421;177;M1;1835;P7 MONOCAB C;e4*2007/46*1194*10;EA023DB12;BB1VABPAZA5;0;0.08;260;Nee;Nee;Nee;2675;0;0.00;2022;Logisch;00;Ja;2024-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;161;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943JB;Personenauto;MG;MG ZS EV;20240821;20200821;;hatchback;5;BLAUW;Niet geregistreerd;;;1507;1966;1607;;;20200821;20200821;Geen verstrekking in Open Data;32640;Ja;140;5;4;0;0;431;181;M1;1966;ZS1;e4*2007/46*1417*01;1EAB1EI;PA5LKE;0;0.04;258;Nee;Nee;Nee;0;0;0.00;2020;Logisch;00;Ja;2024-08-21T00:00:00.000;2020-08-21T00:00:00.000;2020-08-21T00:00:00.000;2020-08-21T00:00:00.000;164;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943JD;Personenauto;MINI;COOPER;20240812;20200812;3922;hatchback;4;WIT;ZWART;3;1499;1105;1565;1205;;;20200812;20200812;Geen verstrekking in Open Data;31128;Ja;210;2;4;0;0;382;173;M1;1565;FML2;e1*2007/46*1678*09;XR31;DHW400L0;0;0.08;250;Nee;Nee;Nee;0;0;0.00;2022;Logisch;00;Ja;2024-08-12T00:00:00.000;2020-08-12T00:00:00.000;2020-08-12T00:00:00.000;2020-08-12T00:00:00.000;141;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943JF;Personenauto;MG;MG ZS EV;20240818;20200818;;hatchback;5;BLAUW;Niet geregistreerd;;;1507;1966;1607;;;20200818;20200818;Geen verstrekking in Open Data;32640;Ja;140;5;4;0;0;431;181;M1;1966;ZS1;e4*2007/46*1417*01;1EAB1EI;PA5LKE;0;0.04;258;Nee;Nee;Nee;0;0;0.00;2022;Logisch;00;Ja;2024-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;164;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943JG;Personenauto;BMW;318I;20240814;20210625;5658;sedan;5;GRIJS;Niet geregistreerd;4;1998;1465;2050;1565;750;1300;20200814;20200814;Geen verstrekking in Open Data;53438;Ja;225;4;4;0;0;471;183;M1;2050;G3L;e1*2007/46*1947*04;71DY;IAW500K0;0;0.07;285;Nee;Nee;Nee;3350;0;0.00;2021;Logisch;00;Ja;2024-08-14T00:00:00.000;2021-06-25T00:00:00.000;2020-08-14T00:00:00.000;2020-08-14T00:00:00.000;144;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
